"go_term","n_query","n_background","pvalue","odds_ratio","padj"
"GO:0004672",19,230,0.00130191845782376,2.72322603148486,0.0208306953251802
"GO:0009653",3,9,0.00496347469597235,11.958234507986,0.0397077975677788
"GO:0050832",12,154,0.021292590908393,2.22099891279713,0.107424689111228
"GO:0099402",3,16,0.0268561722778069,5.49969398670001,0.107424689111228
"GO:0005524",32,721,0.377025678495485,1.16098750613311,0.538292046215225
"GO:0016762",3,57,0.436706058969375,1.27747167087952,0.538292046215225
"GO:0010411",3,57,0.436706058969375,1.27747167087952,0.538292046215225
"GO:0048046",3,58,0.448227632735743,1.25305889138071,0.538292046215225
"GO:0042546",3,56,0.425105389730927,1.30280476022578,0.538292046215225
"GO:0071555",4,71,0.351720346600673,1.38624052663375,0.538292046215225
"GO:0004553",3,60,0.471005540438322,1.20680068969475,0.538292046215225
"GO:0033612",8,130,0.172911806797761,1.58448470504707,0.538292046215225
"GO:0051707",11,245,0.465079166135793,1.08621008215995,0.538292046215225
"GO:0006952",11,235,0.404392346152427,1.14792914411464,0.538292046215225
"GO:0004674",13,504,0.996146153311857,0.452676279808657,0.996146153311857
"GO:0005886",10,355,0.963711468809026,0.567758627009696,0.996146153311857
