GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006468	P	protein phosphorylation	30	41	1902	31449	5.7e-28	1.2e-26	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0016310	P	phosphorylation	30	41	2148	31449	1.9e-26	2.1e-25	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0006464	P	cellular protein modification process	30	41	2487	31449	1.4e-24	7.4e-24	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0036211	P	protein modification process	30	41	2487	31449	1.4e-24	7.4e-24	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0043412	P	macromolecule modification	30	41	2606	31449	5.2e-24	2.3e-23	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0006796	P	phosphate-containing compound metabolic process	30	41	2824	31449	5.3e-23	1.9e-22	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0006793	P	phosphorus metabolic process	30	41	2835	31449	5.9e-23	1.9e-22	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0044267	P	cellular protein metabolic process	30	41	4044	31449	1.5e-18	4.2e-18	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0019538	P	protein metabolic process	30	41	4784	31449	1.7e-16	4.2e-16	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
GO:0044260	P	cellular macromolecule metabolic process	33	41	7151	31449	8.1e-15	1.8e-14	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf06123g04007.1 // Niben101Scf01189g00001.1 // Niben101Scf08633g00003.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02460g05007.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf20268g00001.1 // Niben101Scf01237g07019.1 // Niben101Scf01817g02005.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf08127g12003.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 // Niben101Scf09296g00007.1 
