GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0006468	P	protein phosphorylation	24	31	1902	31449	1.1e-23	1.8e-22	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0016310	P	phosphorylation	24	31	2148	31449	2e-22	1.6e-21	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0006464	P	cellular protein modification process	24	31	2487	31449	6e-21	2.4e-20	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0036211	P	protein modification process	24	31	2487	31449	6e-21	2.4e-20	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0043412	P	macromolecule modification	24	31	2606	31449	1.8e-20	5.7e-20	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0006796	P	phosphate-containing compound metabolic process	24	31	2824	31449	1.2e-19	2.9e-19	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0006793	P	phosphorus metabolic process	24	31	2835	31449	1.3e-19	2.9e-19	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0044267	P	cellular protein metabolic process	24	31	4044	31449	4.6e-16	9.3e-16	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0019538	P	protein metabolic process	24	31	4784	31449	2.2e-14	3.8e-14	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
GO:0044260	P	cellular macromolecule metabolic process	26	31	7151	31449	9.7e-13	1.5e-12	// Niben101Scf00129g01001.1 // Niben101Scf10836g00015.1 // Niben101Scf01093g05006.1 // Niben101Scf01189g00001.1 // Niben101Scf13823g03007.1 // Niben101Scf00985g06002.1 // Niben101Scf04903g01016.1 // Niben101Scf04953g09010.1 // Niben101Scf01976g00011.1 // Niben101Scf12414g01006.1 // Niben101Scf02323g01010.1 // Niben101Scf01685g12005.1 // Niben101Scf02497g08013.1 // Niben101Scf00773g03003.1 // Niben101Scf03653g01028.1 // Niben101Scf06775g00039.1 // Niben101Scf01237g07019.1 // Niben101Scf00935g00011.1 // Niben101Scf02474g03025.1 // Niben101Scf02145g05022.1 // Niben101Scf01761g08001.1 // Niben101Scf04995g00014.1 // Niben101Scf03739g02012.1 // Niben101Scf06565g03017.1 // Niben101Scf00262g04001.1 // Niben101Scf06807g02005.1 
