"go_term","n_query","n_background","pvalue","odds_ratio","padj"
"GO:0030247",13,61,0.00300021570875652,2.82559872485137,0.0403034202764436
"GO:0048608",4,9,0.00644854724423097,7.93187325796416,0.0403034202764436
"GO:1905393",4,9,0.00644854724423097,7.93187325796416,0.0403034202764436
"GO:0048367",4,8,0.00386030579667472,9.91868975284492,0.0403034202764436
"GO:0004674",59,504,0.0120204921352726,1.6151457114677,0.0500853838969692
"GO:0009791",10,48,0.0108994023532285,2.68793792595787,0.0500853838969692
"GO:0005524",76,721,0.0518109434037777,1.46289699923166,0.161909198136805
"GO:0033612",18,130,0.0513442320392144,1.65684258697549,0.161909198136805
"GO:0005576",3,10,0.0595989885613722,4.20690998259307,0.165552746003812
"GO:0030154",3,13,0.115635356712273,2.93799350090529,0.289088391780683
"GO:0048544",8,70,0.334319192735318,1.26136745681092,0.485158334731076
"GO:0016762",7,57,0.284540523806571,1.37156801321527,0.485158334731076
"GO:0010411",7,57,0.284540523806571,1.37156801321527,0.485158334731076
"GO:0048046",7,58,0.300198396029943,1.34333366919195,0.485158334731076
"GO:0042546",7,56,0.269101289970852,1.40095361433936,0.485158334731076
"GO:0071555",8,71,0.349314001006375,1.24008323288283,0.485158334731076
"GO:0004553",7,60,0.332047855627307,1.29005818596637,0.485158334731076
"GO:0005509",4,28,0.266067277624809,1.62698307121964,0.485158334731076
"GO:0006952",23,235,0.453721566800851,1.05644527356363,0.597002061580067
"GO:0051707",23,245,0.547155120283214,0.99657079340937,0.683943900354017
"GO:0005886",32,355,0.658620358436954,0.933961889564938,0.778473692008032
"GO:0050832",13,154,0.716195796647389,0.872064584223564,0.778473692008032
"GO:0106310",6,73,0.702757777295021,0.853979096845365,0.778473692008032
"GO:0004672",17,230,0.906185690518555,0.724721860564786,0.943943427623494
"GO:0030246",6,105,0.946053983233447,0.558894114982532,0.946053983233447
