motif_DB	motif_ID	motif_ALT_ID	seq_ID	FASTA_score	PWM_score	class
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T09g02170	732	227	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T09g02170	51	227	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g00371	406	42.6013	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g00371	27	42.6013	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T07g03057	612	36.7892	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T17g01415	1209	33.5042	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T06g03401	515	31.331	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T06g01247	462	30.9844	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T03g03421	310	29.7039	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g02013	1162	26.5664	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T17g02422	1232	26.1818	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T17g02422	97	26.1818	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T07g02860	600	25.6236	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T14g02469	1038	24.0434	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g01685	431	21.1864	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T19g02793	1361	20.9046	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g00915	1128	18.839	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T17g00330	1189	18.668	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T11g02252	860	16.8862	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g01044	417	16.4069	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T12g00949	896	15.4602	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T14g01257	1016	15.1265	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g00269	1104	14.987	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g00269	86	14.987	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T12g00963	900	14.7273	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g01916	1153	14.7269	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T15g02564	1093	14.2777	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g01867	436	14.203	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T01g02687	167	14.0713	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T01g02687	11	14.0713	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g02458	441	12.5442	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T06g03181	507	12.1954	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T07g02512	577	12.1871	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T01g02965	170	12.1366	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g01992	1157	11.99	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g01992	91	11.99	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T03g03550	311	11.9125	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T03g02940	301	11.7601	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T03g02940	19	11.7601	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T19g01090	1325	11.4727	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T13g02451	985	11.3399	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T13g02451	75	11.3399	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T04g03555	395	10.8068	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T03g01700	281	10.3534	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T08g02256	664	10.3442	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T19g00422	1299	9.88014	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T19g00422	105	9.88014	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T10g02424	805	9.79944	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T10g02424	59	9.79944	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T01g00657	134	9.7673	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T01g00657	5	9.7673	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T17g01962	1219	9.04006	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T18g02241	1292	8.59838	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T18g02241	104	8.59838	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T12g00886	892	8.57166	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T11g01601	839	8.27833	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T18g02463	1296	8.24927	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T04g02154	361	8.18552	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T04g02157	362	8.00886	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T09g02415	737	7.87749	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T07g02985	607	7.41484	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T07g01406	550	7.34867	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T16g01354	1137	7.33867	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T09g01733	718	6.84034	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T09g01733	49	6.84034	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T11g02161	855	6.28987	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T11g02161	64	6.28987	tp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g01484	429	6.15551	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T10g01855	794	5.85979	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T05g02181	437	5.83937	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T08g01552	647	5.82433	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T10g01426	787	5.81829	fp
/users/fyp/fyp5/project/genome/motif_databases/ARABD/ArabidopsisDAPv1.meme	WRKY_tnt.WRKY26_col_a_m1	WRKY26	NbT2T10g01426	56	5.81829	tp
