gene_id	ontology	go_term	PPV
1	MF	GO:0004672	0.6347969468118312
1	BP	GO:0048544	0.6300053887682704
1	MF	GO:0005524	0.5601466791433973
NbT2T04g00511-mRNA	MF	GO:0004674	0.6635573035451924
NbT2T04g00511-mRNA	MF	GO:0030246	0.6377599010579847
NbT2T04g00511-mRNA	MF	GO:0106310	0.5657208603417767
NbT2T04g00511-mRNA	MF	GO:0005524	0.5601458920207085
NbT2T03g03421-mRNA	BP	GO:0048544	0.791501677270646
NbT2T03g03421-mRNA	MF	GO:0030246	0.6656868006456494
NbT2T03g03421-mRNA	CC	GO:0005886	0.5122693652096434
NbT2T03g03421-mRNA	MF	GO:0004674	0.661390750453305
NbT2T03g03421-mRNA	MF	GO:0005524	0.5601463638865634
NbT2T03g03421-mRNA	MF	GO:0106310	0.5346324613790316
NbT2T03g02950-mRNA	MF	GO:0030246	0.6725720541678369
NbT2T03g02950-mRNA	MF	GO:0004674	0.6635584109527
NbT2T03g02950-mRNA	MF	GO:0005524	0.5601466803081303
NbT2T03g02950-mRNA	MF	GO:0106310	0.5479461186560061
NbT2T02g00193-mRNA	MF	GO:0030246	0.6687618809116481
NbT2T02g00193-mRNA	MF	GO:0004674	0.6635580014282483
NbT2T02g00193-mRNA	MF	GO:0106310	0.5615585393466402
NbT2T02g00193-mRNA	MF	GO:0005524	0.560146388795772
NbT2T16g00517-mRNA	MF	GO:0030246	0.6865002867569825
NbT2T16g00517-mRNA	MF	GO:0004674	0.6634362559716213
NbT2T16g00517-mRNA	MF	GO:0106310	0.6392359187475403
NbT2T16g00517-mRNA	MF	GO:0005524	0.5600597265585531
NbT2T19g00516-mRNA	BP	GO:0048544	0.7914739708237486
NbT2T19g00516-mRNA	MF	GO:0004674	0.6635375419385413
NbT2T19g00516-mRNA	CC	GO:0005886	0.5242992168042672
NbT2T19g00516-mRNA	MF	GO:0030246	0.6250975062308155
NbT2T19g00516-mRNA	MF	GO:0005524	0.5601318250888421
NbT2T19g00516-mRNA	MF	GO:0106310	0.519044880999343
NbT2T04g03485-mRNA	MF	GO:0004674	0.661148207118962
NbT2T04g03485-mRNA	CC	GO:0005886	0.5216834631506003
NbT2T04g03485-mRNA	MF	GO:0106310	0.5590423697879012
NbT2T04g03485-mRNA	MF	GO:0005524	0.5584310215708591
NbT2T04g03485-mRNA	MF	GO:0030246	0.5352213409658435
NbT2T01g01902-mRNA	MF	GO:0004674	0.6614656028798923
NbT2T01g01902-mRNA	CC	GO:0005886	0.5230312441387331
NbT2T01g01902-mRNA	MF	GO:0030246	0.6394261002361279
NbT2T01g01902-mRNA	MF	GO:0106310	0.6033532086572007
NbT2T01g01902-mRNA	MF	GO:0005524	0.5586569538355042
NbT2T14g01748-mRNA	MF	GO:0030246	0.6654718411854439
NbT2T14g01748-mRNA	MF	GO:0004674	0.6590403403334353
NbT2T14g01748-mRNA	MF	GO:0005524	0.5601428841495601
NbT2T05g01044-mRNA	MF	GO:0004674	0.648581965227742
NbT2T05g01044-mRNA	BP	GO:0048544	0.5762202449463161
NbT2T05g01044-mRNA	MF	GO:0106310	0.5731481511074432
NbT2T05g01044-mRNA	MF	GO:0005524	0.5601464859153527
NbT2T04g03487-mRNA	MF	GO:0004674	0.6590272877452139
NbT2T04g03487-mRNA	BP	GO:0048544	0.5494653955771271
NbT2T04g03487-mRNA	CC	GO:0005886	0.5174969097972915
NbT2T04g03487-mRNA	MF	GO:0005524	0.5569212845919018
NbT2T04g03487-mRNA	MF	GO:0106310	0.548116456430798
NbT2T12g01562-mRNA	MF	GO:0004674	0.6571068991994209
NbT2T12g01562-mRNA	MF	GO:0030246	0.642927649086469
NbT2T12g01562-mRNA	MF	GO:0106310	0.5740609777221503
NbT2T12g01562-mRNA	MF	GO:0005524	0.5601465012389606
NbT2T01g00317-mRNA	MF	GO:0004674	0.6559464174521468
NbT2T01g00317-mRNA	MF	GO:0030246	0.6402255445719289
NbT2T01g00317-mRNA	MF	GO:0005524	0.5601463452854045
NbT2T01g00317-mRNA	MF	GO:0106310	0.5551448806401952
NbT2T05g01465-mRNA	MF	GO:0004672	0.633857000535903
NbT2T05g01465-mRNA	MF	GO:0005524	0.559419298423648
NbT2T07g02512-mRNA	MF	GO:0030246	0.6718310756378392
NbT2T07g02512-mRNA	MF	GO:0004674	0.6621521752867433
NbT2T07g02512-mRNA	MF	GO:0106310	0.5692007381526047
NbT2T07g02512-mRNA	MF	GO:0005524	0.5601458230128749
NbT2T18g00435-mRNA	MF	GO:0030246	0.6669674381083465
NbT2T18g00435-mRNA	MF	GO:0004674	0.6635584131337842
NbT2T18g00435-mRNA	MF	GO:0005524	0.5601466818606946
NbT2T18g00435-mRNA	MF	GO:0106310	0.5467717313504139
NbT2T11g01601-mRNA	BP	GO:0048544	0.7743125598104879
NbT2T11g01601-mRNA	MF	GO:0004674	0.6635584400272263
NbT2T11g01601-mRNA	MF	GO:0030246	0.6314011942774574
NbT2T11g01601-mRNA	MF	GO:0005524	0.5601467010042906
NbT2T11g01601-mRNA	MF	GO:0106310	0.5589273749760473
NbT2T05g00436-mRNA	BP	GO:0048544	0.7742024908341958
NbT2T05g00436-mRNA	MF	GO:0004674	0.6635584204255169
NbT2T05g00436-mRNA	MF	GO:0030246	0.6307828157024267
NbT2T05g00436-mRNA	MF	GO:0005524	0.5601466870511788
NbT2T05g00436-mRNA	MF	GO:0106310	0.5558512279117054
NbT2T12g02512-mRNA	BP	GO:0048544	0.7791687934783947
NbT2T12g02512-mRNA	MF	GO:0004674	0.6635582560580442
